,Raw_missing_cols,Percentage
70252,2,14.2857
49497,2,14.2857
57269,2,14.2857
50141,2,14.2857
72443,2,14.2857
69849,2,14.2857
49915,2,14.2857
71116,2,14.2857
49917,2,14.2857
70556,2,14.2857
76828,2,14.2857
71117,2,14.2857
49673,2,14.2857
74827,2,14.2857
74270,2,14.2857
69862,2,14.2857
69866,2,14.2857
52348,2,14.2857
76881,2,14.2857
76798,2,14.2857
69860,2,14.2857
57118,2,14.2857
71736,2,14.2857
50333,2,14.2857
71219,2,14.2857
69850,2,14.2857
50285,2,14.2857
64970,2,14.2857
50222,2,14.2857
76874,2,14.2857
69851,2,14.2857
73755,2,14.2857
68232,2,14.2857
63609,2,14.2857
68025,2,14.2857
65233,2,14.2857
68285,2,14.2857
66273,2,14.2857
63605,2,14.2857
68307,2,14.2857
64528,2,14.2857
49685,2,14.2857
68308,2,14.2857
68273,2,14.2857
49688,2,14.2857
57130,2,14.2857
68271,2,14.2857
57128,2,14.2857
75895,2,14.2857
68242,2,14.2857
66513,2,14.2857
66436,2,14.2857
76835,2,14.2857
63555,2,14.2857
75587,2,14.2857
68304,2,14.2857
48896,2,14.2857
57140,2,14.2857
51915,2,14.2857
65046,2,14.2857
69803,2,14.2857
66438,2,14.2857
63587,2,14.2857
69757,2,14.2857
68283,2,14.2857
74271,2,14.2857
69665,2,14.2857
53864,2,14.2857
69751,2,14.2857
57120,2,14.2857
69678,2,14.2857
68327,2,14.2857
48897,2,14.2857
63588,2,14.2857
49653,2,14.2857
63598,2,14.2857
68311,2,14.2857
63594,2,14.2857
49648,2,14.2857
57145,2,14.2857
68318,2,14.2857
49626,2,14.2857
70960,2,14.2857
68252,2,14.2857
66515,2,14.2857
64461,2,14.2857
53809,2,14.2857
63602,2,14.2857
68322,2,14.2857
68255,2,14.2857
48932,2,14.2857
63600,2,14.2857
67932,2,14.2857
48930,2,14.2857
68263,2,14.2857
53586,2,14.2857
66523,2,14.2857
68269,2,14.2857
59972,2,14.2857
68326,2,14.2857
66522,2,14.2857
55490,2,14.2857
75897,2,14.2857
68244,2,14.2857
70208,2,14.2857
71727,2,14.2857
49085,2,14.2857
68247,2,14.2857
71196,2,14.2857
57126,2,14.2857
68248,2,14.2857
66517,2,14.2857
73759,2,14.2857
67059,2,14.2857
55860,2,14.2857
68240,2,14.2857
49083,2,14.2857
52414,2,14.2857
65647,2,14.2857
52420,2,14.2857
68291,2,14.2857
56171,2,14.2857
65231,2,14.2857
54103,2,14.2857
52313,2,14.2857
53808,2,14.2857
65232,2,14.2857
52048,2,14.2857
51910,2,14.2857
53806,2,14.2857
69834,2,14.2857
